step,loss,accuracy,lr,seconds
1,1.09015,0.4375,0.000e+00,0.5
25,1.07035,0.3750,1.600e-05,4.0
50,1.10355,0.1875,1.859e-05,7.5
75,1.09061,0.3750,1.674e-05,11.6
100,0.99338,0.6875,1.489e-05,14.9
125,1.06870,0.5000,1.304e-05,18.3
150,1.10460,0.3125,1.119e-05,22.2
175,1.05655,0.4375,9.333e-06,25.4
200,1.05798,0.3750,7.481e-06,28.7
225,1.12290,0.3125,5.630e-06,31.8
250,1.09805,0.3750,3.778e-06,35.0
275,0.98108,0.7500,1.926e-06,38.1
300,1.02540,0.4375,7.407e-08,41.2
