step,loss,accuracy,lr,seconds
1,1.15951,0.1875,0.000e+00,0.3
60,0.89429,0.8750,4.873e-05,8.2
120,0.04323,1.0000,4.178e-05,15.6
180,0.00442,1.0000,3.484e-05,22.9
240,0.00222,1.0000,2.789e-05,30.6
300,0.00110,1.0000,2.095e-05,38.1
360,0.00096,1.0000,1.400e-05,45.4
420,0.00104,1.0000,7.060e-06,52.9
480,0.00114,1.0000,1.157e-07,60.4
