step,loss,accuracy,lr,seconds
3350,0.67234,0.8125,1.428e-05,424.6
3375,0.85744,0.5625,1.422e-05,427.7
3400,0.94673,0.6250,1.416e-05,430.7
3425,0.51436,0.9375,1.411e-05,433.9
3450,0.97298,0.5000,1.405e-05,436.9
3475,0.78676,0.6250,1.399e-05,440.1
3500,1.00299,0.5000,1.393e-05,443.3
3525,0.70891,0.6875,1.387e-05,446.4
3550,0.76373,0.6875,1.381e-05,449.7
3575,0.79973,0.7500,1.375e-05,452.8
3600,0.57698,0.8750,1.369e-05,456.1
3625,0.64151,0.8750,1.363e-05,459.3
3650,0.75103,0.7500,1.357e-05,462.5
3675,0.75976,0.6250,1.351e-05,465.5
3700,0.76114,0.6875,1.345e-05,468.5
3725,0.98408,0.5000,1.339e-05,471.7
3750,1.01149,0.5625,1.333e-05,474.7
3775,0.91375,0.6250,1.328e-05,477.9
3800,0.90018,0.6250,1.322e-05,481.1
3825,0.98128,0.4375,1.316e-05,484.1
3850,0.71437,0.6875,1.310e-05,487.2
3875,0.82835,0.7500,1.304e-05,490.5
3900,0.73851,0.6250,1.298e-05,493.6
3925,1.21398,0.3750,1.292e-05,496.8
3950,0.68497,0.6875,1.286e-05,499.7
3975,0.70473,0.6250,1.280e-05,502.8
4000,0.80000,0.7500,1.274e-05,505.8
4025,0.93027,0.5625,1.268e-05,509.9
4050,0.93516,0.5625,1.262e-05,512.9
4075,0.75731,0.6875,1.256e-05,516.1
4100,0.87694,0.5625,1.251e-05,519.1
4125,0.67201,0.6875,1.245e-05,522.0
4150,0.70150,0.7500,1.239e-05,525.2
4175,0.85461,0.5625,1.233e-05,528.3
4200,0.59695,0.8125,1.227e-05,531.5
4225,0.67575,0.8125,1.221e-05,534.7
4250,0.61650,0.7500,1.215e-05,537.7
4275,0.93817,0.5625,1.209e-05,540.8
4300,0.84790,0.6250,1.203e-05,543.9
4325,0.86848,0.5000,1.197e-05,547.0
4350,0.93277,0.5625,1.191e-05,549.9
4375,0.60870,0.8750,1.185e-05,552.9
4400,0.76512,0.6875,1.179e-05,556.2
4425,0.51832,0.9375,1.174e-05,559.3
4450,1.02754,0.5000,1.168e-05,562.3
4475,0.74021,0.7500,1.162e-05,565.3
4500,0.71782,0.6250,1.156e-05,568.6
4525,0.70521,0.8750,1.150e-05,571.8
4550,0.87909,0.5625,1.144e-05,574.9
4575,0.72437,0.6250,1.138e-05,578.7
4600,0.93324,0.5625,1.132e-05,581.9
4625,0.63903,0.8750,1.126e-05,585.1
4650,0.90614,0.5000,1.120e-05,588.3
4675,0.91584,0.5000,1.114e-05,591.5
4700,0.78336,0.6250,1.108e-05,594.7
4725,0.65585,0.6875,1.102e-05,597.8
4750,0.87167,0.6875,1.096e-05,600.8
4775,0.97140,0.5625,1.091e-05,603.8
4800,0.75841,0.5625,1.085e-05,607.1
4825,0.68049,0.7500,1.079e-05,610.1
4850,0.81767,0.5625,1.073e-05,613.3
4875,1.23643,0.3750,1.067e-05,616.9
4900,0.93447,0.5625,1.061e-05,620.3
4925,0.67435,0.6250,1.055e-05,623.6
4950,0.83078,0.6250,1.049e-05,627.0
4975,1.10657,0.5000,1.043e-05,630.6
5000,0.64553,0.8125,1.037e-05,633.9
5025,0.73901,0.6250,1.031e-05,638.5
5050,0.66820,0.6875,1.025e-05,641.7
5075,0.61545,0.7500,1.019e-05,644.9
5100,0.60856,0.8750,1.014e-05,648.1
5125,0.69526,0.6250,1.008e-05,651.9
5150,0.82466,0.7500,1.002e-05,655.6
5175,1.02732,0.4375,9.957e-06,659.0
5200,0.83039,0.6875,9.898e-06,662.3
5225,0.75505,0.6250,9.839e-06,665.5
5250,0.91400,0.5000,9.780e-06,668.9
5275,0.59198,0.7500,9.720e-06,672.2
5300,0.89267,0.6250,9.661e-06,675.5
5325,0.80843,0.5625,9.602e-06,678.8
5350,0.68933,0.7500,9.543e-06,682.3
5375,0.87788,0.5625,9.483e-06,686.0
5400,0.69829,0.6875,9.424e-06,689.5
5425,0.79420,0.6250,9.365e-06,693.0
5450,1.28117,0.3125,9.306e-06,696.3
5475,0.79297,0.5625,9.246e-06,700.1
5500,0.84151,0.6250,9.187e-06,703.8
5525,0.75745,0.5625,9.128e-06,707.2
5550,0.79928,0.6250,9.068e-06,710.4
5575,0.76211,0.6250,9.009e-06,713.9
5600,0.73942,0.6875,8.950e-06,717.2
5625,0.63584,0.6875,8.891e-06,720.7
5650,0.67394,0.6875,8.831e-06,724.3
5675,0.94110,0.5625,8.772e-06,727.8
5700,0.75276,0.6250,8.713e-06,731.0
5725,0.64443,0.7500,8.654e-06,734.2
5750,0.98973,0.3750,8.594e-06,737.5
5775,1.08225,0.4375,8.535e-06,740.8
5800,0.77671,0.6875,8.476e-06,744.2
5825,0.82130,0.6250,8.417e-06,747.6
5850,0.81761,0.6875,8.357e-06,750.9
5875,1.04331,0.5000,8.298e-06,754.4
5900,0.66178,0.8125,8.239e-06,757.6
5925,0.81492,0.5000,8.180e-06,760.8
5950,0.64759,0.8125,8.120e-06,764.1
5975,0.65220,0.6875,8.061e-06,767.1
6000,0.52343,0.7500,8.002e-06,770.3
6025,1.05672,0.3750,7.943e-06,774.6
6050,0.66868,0.7500,7.883e-06,777.7
6075,0.80599,0.6250,7.824e-06,781.0
6100,0.70218,0.7500,7.765e-06,784.7
6125,0.90480,0.5625,7.706e-06,788.3
6150,0.83806,0.7500,7.646e-06,791.9
6175,0.80080,0.6250,7.587e-06,795.1
6200,0.54664,0.8125,7.528e-06,798.3
6225,0.60029,0.6250,7.469e-06,802.2
6250,0.55038,0.7500,7.409e-06,805.5
6275,0.72063,0.8125,7.350e-06,808.6
6300,0.60948,0.8125,7.291e-06,811.9
6325,1.07432,0.5000,7.232e-06,815.1
6350,0.80498,0.6250,7.172e-06,818.5
6375,0.59656,0.8125,7.113e-06,821.8
6400,0.94707,0.4375,7.054e-06,825.1
6425,0.96850,0.5625,6.995e-06,828.4
6450,0.85920,0.6250,6.935e-06,831.6
6475,0.94529,0.6250,6.876e-06,834.8
6500,0.89627,0.6250,6.817e-06,838.1
6525,1.11824,0.3125,6.758e-06,841.1
6550,0.73970,0.7500,6.698e-06,844.4
6575,0.84912,0.6250,6.639e-06,847.7
6600,0.73874,0.7500,6.580e-06,851.0
6625,0.82930,0.5625,6.521e-06,854.7
6650,1.08688,0.5625,6.461e-06,858.5
6675,0.59080,0.7500,6.402e-06,862.2
6700,0.82497,0.6250,6.343e-06,866.0
6725,1.11661,0.5000,6.283e-06,869.8
6750,0.59385,0.7500,6.224e-06,873.5
6775,0.69790,0.6875,6.165e-06,876.8
6800,1.23771,0.5000,6.106e-06,880.0
6825,0.77258,0.7500,6.046e-06,883.3
6850,1.22811,0.5000,5.987e-06,886.8
6875,1.02558,0.5625,5.928e-06,890.3
6900,0.73060,0.7500,5.869e-06,893.8
6925,0.58008,0.8125,5.809e-06,897.1
6950,0.69409,0.6875,5.750e-06,900.2
6975,0.60096,0.7500,5.691e-06,903.8
7000,0.73764,0.7500,5.632e-06,907.0
7025,0.89588,0.4375,5.572e-06,911.3
7050,1.16811,0.3750,5.513e-06,914.5
7075,0.75836,0.5625,5.454e-06,917.7
7100,0.88810,0.6250,5.395e-06,921.1
7125,0.72486,0.6875,5.335e-06,925.1
7150,0.71120,0.6250,5.276e-06,928.6
7175,0.64031,0.6875,5.217e-06,932.1
7200,0.66836,0.6250,5.158e-06,935.5
7225,0.56074,0.8750,5.098e-06,939.0
7250,1.04589,0.6250,5.039e-06,942.2
7275,0.77674,0.6875,4.980e-06,945.5
7300,0.90155,0.6250,4.921e-06,948.8
7325,0.64701,0.7500,4.861e-06,952.4
7350,0.70064,0.6875,4.802e-06,955.9
7375,0.67186,0.6875,4.743e-06,959.6
7400,0.84793,0.6875,4.684e-06,963.1
7425,1.06145,0.5625,4.624e-06,966.2
7450,0.68031,0.6875,4.565e-06,969.5
7475,0.94383,0.4375,4.506e-06,972.8
7500,0.74272,0.7500,4.447e-06,976.0
7525,1.04219,0.5000,4.387e-06,979.4
7550,0.80091,0.5625,4.328e-06,982.6
7575,0.70089,0.6250,4.269e-06,986.1
7600,1.02228,0.4375,4.210e-06,989.5
7625,0.69349,0.6250,4.150e-06,993.1
7650,0.84883,0.5000,4.091e-06,996.6
7675,0.92482,0.5625,4.032e-06,1000.1
7700,0.81335,0.6250,3.973e-06,1003.7
7725,0.92488,0.5625,3.913e-06,1007.1
7750,1.04253,0.6250,3.854e-06,1010.5
7775,0.60900,0.8125,3.795e-06,1014.0
7800,0.58674,0.8125,3.735e-06,1017.4
7825,0.86913,0.6250,3.676e-06,1020.7
7850,0.63371,0.8125,3.617e-06,1023.7
7875,0.66322,0.6875,3.558e-06,1026.9
7900,0.81555,0.6875,3.498e-06,1030.1
7925,0.75190,0.6875,3.439e-06,1033.3
7950,0.98330,0.6250,3.380e-06,1036.7
7975,0.88454,0.5625,3.321e-06,1040.1
8000,0.75828,0.8125,3.261e-06,1044.0
8025,0.54281,0.8125,3.202e-06,1049.0
8050,0.77129,0.6875,3.143e-06,1052.6
8075,0.82285,0.5000,3.084e-06,1056.2
8100,0.72484,0.7500,3.024e-06,1059.7
8125,0.59988,0.8125,2.965e-06,1063.0
8150,0.53096,0.8750,2.906e-06,1066.5
8175,0.61289,0.8125,2.847e-06,1070.1
8200,0.93749,0.5000,2.787e-06,1073.5
8225,0.74018,0.6875,2.728e-06,1076.7
8250,0.65852,0.7500,2.669e-06,1079.9
8275,0.75997,0.6875,2.610e-06,1083.4
8300,0.67778,0.6250,2.550e-06,1086.9
8325,0.88587,0.5625,2.491e-06,1090.0
8350,0.78477,0.6875,2.432e-06,1093.2
8375,0.92875,0.6250,2.373e-06,1096.9
8400,0.81840,0.6250,2.313e-06,1100.4
8425,0.73958,0.6875,2.254e-06,1103.8
8450,0.94066,0.5625,2.195e-06,1107.1
8475,0.97628,0.6875,2.136e-06,1110.6
8500,0.78666,0.6250,2.076e-06,1114.0
8525,0.90518,0.6875,2.017e-06,1117.8
8550,0.81248,0.5625,1.958e-06,1121.2
8575,0.70331,0.7500,1.899e-06,1124.5
8600,0.96712,0.7500,1.839e-06,1127.9
8625,0.98795,0.5000,1.780e-06,1131.4
8650,0.84174,0.7500,1.721e-06,1134.9
8675,0.79551,0.7500,1.662e-06,1138.2
8700,0.66389,0.6875,1.602e-06,1141.3
8725,0.74525,0.6250,1.543e-06,1144.8
8750,1.06607,0.3750,1.484e-06,1148.2
8775,0.82661,0.6250,1.425e-06,1151.5
8800,0.80236,0.6875,1.365e-06,1154.7
8825,1.22578,0.4375,1.306e-06,1158.0
8850,1.00932,0.3750,1.247e-06,1161.4
8875,0.68091,0.6875,1.187e-06,1164.7
